Constraint Name,Source Table,Source Column,Destination Table,Destination Column,Affected Modules
quiz_answers_userId_fkey,quiz_answers,userId,users,id,SYSTEM/GAMIFICATION -> AUTH/USER
rajya_scores_userId_fkey,rajya_scores,userId,users,id,SYSTEM/GAMIFICATION -> AUTH/USER
reminders_userId_fkey,reminders,userId,users,id,DOOT (Reminders) -> AUTH/USER
scheduled_reports_createdBy_fkey,scheduled_reports,createdBy,admin_users,id,UNKNOWN -> ADMIN
submodules_moduleId_fkey,submodules,moduleId,modules,id,SYSTEM/GAMIFICATION -> SYSTEM/GAMIFICATION
subscription_analytics_userId_fkey,subscription_analytics,userId,users,id,UNKNOWN -> AUTH/USER
subscriptions_userId_fkey,subscriptions,userId,users,id,LEAKAGE (Subscriptions) -> AUTH/USER
succession_emergency_userId_fkey,succession_emergency,userId,users,id,MITRA (Nominees & Will) -> AUTH/USER
succession_nominees_nomineeId_fkey,succession_nominees,nomineeId,family_members,id,MITRA (Nominees & Will) -> FOUNDATION (Mitra/Family)
succession_nominees_userId_fkey,succession_nominees,userId,users,id,MITRA (Nominees & Will) -> AUTH/USER
succession_wills_userId_fkey,succession_wills,userId,users,id,MITRA (Nominees & Will) -> AUTH/USER
support_tickets_assignedTo_fkey,support_tickets,assignedTo,admin_users,id,SUPPORT/FEEDBACK -> ADMIN
support_tickets_userId_fkey,support_tickets,userId,users,id,SUPPORT/FEEDBACK -> AUTH/USER
system_parameters_updatedBy_fkey,system_parameters,updatedBy,admin_users,id,UNKNOWN -> ADMIN
tax_records_userId_fkey,tax_records,userId,users,id,KAR (Tax) -> AUTH/USER
ticket_responses_ticketId_fkey,ticket_responses,ticketId,support_tickets,id,SUPPORT/FEEDBACK -> SUPPORT/FEEDBACK
tutorial_analytics_tutorialId_fkey,tutorial_analytics,tutorialId,tutorials,id,SYSTEM/GAMIFICATION -> SYSTEM/GAMIFICATION
tutorial_completions_tutorialId_fkey,tutorial_completions,tutorialId,tutorials,id,SYSTEM/GAMIFICATION -> SYSTEM/GAMIFICATION
tutorial_completions_userId_fkey,tutorial_completions,userId,users,id,SYSTEM/GAMIFICATION -> AUTH/USER
tutorials_createdBy_fkey,tutorials,createdBy,admin_users,id,SYSTEM/GAMIFICATION -> ADMIN
tutorials_submoduleId_fkey,tutorials,submoduleId,submodules,id,SYSTEM/GAMIFICATION -> SYSTEM/GAMIFICATION
user_chapter_progress_submoduleId_fkey,user_chapter_progress,submoduleId,submodules,id,SYSTEM/GAMIFICATION -> SYSTEM/GAMIFICATION
user_chapter_progress_userId_fkey,user_chapter_progress,userId,users,id,SYSTEM/GAMIFICATION -> AUTH/USER
user_cohorts_cohortId_fkey,user_cohorts,cohortId,cohorts,id,UNKNOWN -> UNKNOWN
user_cohorts_userId_fkey,user_cohorts,userId,users,id,UNKNOWN -> AUTH/USER
user_feedback_userId_fkey,user_feedback,userId,users,id,SUPPORT/FEEDBACK -> AUTH/USER
user_module_progress_moduleId_fkey,user_module_progress,moduleId,modules,id,SYSTEM/GAMIFICATION -> SYSTEM/GAMIFICATION
user_module_progress_userId_fkey,user_module_progress,userId,users,id,SYSTEM/GAMIFICATION -> AUTH/USER
user_sessions_userId_fkey,user_sessions,userId,users,id,AUTH/USER -> AUTH/USER
will_status_userId_fkey,will_status,userId,users,id,MITRA (Nominees & Will) -> AUTH/USER
